name,Longitude,Latitude,Cluster
Vietnam,105.8342,21.0278,2
Japan,138.2529,36.2048,2
South Korea,127.7669,35.9078,2
Australia,133.7751,-25.2744,2
France,2.2137,46.2276,1
Germany,10.4515,51.1657,1
United Kingdom,-3.436,55.3781,1
Italy,12.5674,41.8719,1
Spain,-3.7492,40.4637,1
United States,-95.7129,37.0902,0
Canada,-106.3468,56.1304,0
Brazil,-51.9253,-14.235,0
Argentina,-63.6167,-38.4161,0
South Africa,22.9375,-30.5595,1
Egypt,30.8025,26.8206,1
India,78.9629,20.5937,2
Thailand,100.9925,15.87,2
Singapore,103.8198,1.3521,2
New Zealand,174.886,-40.9006,2
Russia,105.3188,61.524,2
